UNIT_COST,CONSUMER_EXTRA_BENEFIT,BALANCEDEDMODE_ATTR,DISPLAY-RANK,BENEFITS_16,RECHARGENAME_ATTR,BENEFITS_11,BENEFITS_10,BENEFITS_13,BENEFITS_12,BENEFITS_15,BENEFITS_14,UP_SELL,DATAUSAGE_ATTR,WEB-SELLABLE,ManufacturerName,READ_MORE,PROMO_ID,ITEM_ID,CONSUMER_SUB_CATEGORY,PROMOTION_TITLE_2,WEB_EXCLUSIVE_BENEFIT,CGRP_START_RANGE,RECHARGE_SUBTYPE,CONSUMER_PRODUCT_DESCRIPTION,WEB-VALIDITY,ETOPUPTYPE_ATTR,CONSUMER_PRODUCT_CATEGORY,OPEN_MARKET_FLAG,PRODUCT-SUB-CATEGORY,HOMEPAGE_DISPLAY_RANK,ONLINE_RECHARGE_FLAG,PROMOTION_TITLE,AUTO_RECHARGE_FLAG,CROSS_SELL,ETOPUP_SUBTYPE,ROAMING_TYPE,CESS,PRODUCT-NAME,IS_HARMONIZED,VOUCHER_COUNT,VOICE_LINE_2,INTENT_TYPE,APP-SELLABLE,VOICE_LINE_1,DEVICETYPE_ATTR,CONSUMER_PROMOTION,SERVICEVALIDITY_ATTR,TALKTIME_ATTR,PRODUCT-RATING,CROSS_SELL_CAPTION,APP_EXCLUSIVE_BENEFIT,TARGETED_CAMPAIGN,PRODUCT-CATEGORY,SRSUBTYPE_ATTR,RECCID_ATTR,HOMEPAGE_DISPLAY_FLAG,RECHARGEID_ATTR,STATUS,SGST,DATA_LINE_2,UP_SELL_CAPTION,COUNTRY,DATA_LINE_1,VOUCHER_AMOUNT,VOICE_PACK_TYPE,NEO_GOLD_PROD_CAT,WEB_SUB_CATEGORY_2,RETAILER_PRODUCT_DESCRIPTION,SERVICE_VALIDITY,SMS_COUNT_ATTR,WEB-EXCLUSIVE,VALIDITY_ATTR,BENEFITS_1,BENEFITS_2,NETWORKTYPE_ATTR,CHANNEL_ATTR,STATECODE_ATTR,OFFERTYPE_ATTR,BENEFITS_5,BENEFITS_6,BENEFITS_3,CGST,BENEFITS_4,RETAILER_EXTRA_BENEFIT,BENEFITS_9,SMS_LINE_1,SMS_LINE_2,BENEFITS_7,BENEFITS_8,TALKTIME_LINE_1,TALKTIME_LINE_2,NEO-SELLABLE,TOPFIVE_ATTR,RETAILER_PROMOTION,GST,COMBO_TYPE_ATTR,VOUCHER_ENABLED,PRODUCT-MKT-DESC,ACCESSFEE_ATTR,validity_days,cost_per_day
154,,FALSE,3,,154 OTT,,,"Vi Movies & TV Lite, ZEE5, Sony LIV~~mobile~~ZEE5#Sony LIV#Fancode#Atrangi#Klikk#Chaupal#Manorama MAX#NammaFlix#PlayFlix#Distro TV#Shemaroo ME#Ullu #Hungama#YuppTV#NexGTv#Pocket Films",,,,,2048,1,ETOPUP,"Watch ZEE5, SonyLIV, Playflix, Fancode, Aaj Tak, Manoramax & many more on Mobile. Enjoy 13+ OTT Apps, 400 TV Channels in one subscription with Vi Movies & TV Lite plan. Add-On 2GB Data. No service validity. Pack validity is 1 Month.",,MH_0014_154_MH_0014_154,,,,154,,,1 Month,,,Y,,,Y,"ViMTV Lite - ZEE5, Sony LIV�+ 14 OTTs",0,,,,,Data,Y,,,,1,,,,0,0,,,,N#N,Internet,,,Y,MH_0014_154,SUCCESS,,,,,2GB,,,,,"Watch ZEE5, SonyLIV, Playflix, Fancode, Aaj Tak, Manoramax & many more on Mobile. Enjoy 13+ OTT Apps, 400 TV Channels in one subscription with Vi Movies & TV Lite plan. Add-On 2GB Data. No service validity. Pack validity is 1 Month.",N,,,1,,,,,MH,"16 OTTs in 1 App~~Watch on Mobile~~No Service Validity#ViMTV Lite - ZEE5, Sony LIV�+ 14 OTTs",,,,,,,,No Outgoing SMS,,,,,,,,,23.49,,,"Watch ZEE5, SonyLIV, Playflix, Fancode, Aaj Tak, Manoramax & many more on Mobile. Enjoy 13+ OTT Apps, 400 TV Channels in one subscription with Vi Movies & TV Lite plan. Add-On 2GB Data. No service validity. Pack validity is 1 Month.",130.51,28.0,5.5
169,,FALSE,14,,169 Hotstar,3 months of Disney+ Hotstar subscription,,,,,,,8192,1,ETOPUP,ADD-ON Data pack- 8GB for 30 Days & Disney+ Hotstar Mobile subscription for 3 months. NO Service Validity.,,MH_0014_169_MH_0014_169,,,,169,Data,ADD-ON Data pack- 8GB for 30 Days & Disney+ Hotstar Mobile subscription for 3 months. NO Service Validity.,30 days,Internet pack,,Y,,,Y,Premium Pack - Includes Hotstar,0,,,,,Data,Y,,,,1,,,,0,0,,,,N#N,Internet,,,Y,MH_0014_169,SUCCESS,,,,,8GB,,,,,ADD-ON Data pack- 8GB for 30 Days & Disney+ Hotstar Mobile subscription for 3 months. NO Service Validity.,N,,,30,,,4G,,MH,3 months of Disney + Hotstar mobile~~no service validity#Premium Pack - Includes Hotstar,,,,,,,,,,,,,,,,,25.78,,,ADD-ON Data pack- 8GB for 30 Days & Disney+ Hotstar Mobile subscription for 3 months. NO Service Validity.,143.22,30.0,5.633333333333334
1049,,false,19,,Unlimited Calls + Data,,,,,,,,12288,1,ETOPUP,Get Unlimited Calls + 12GB Data + 1800 SMS. Pack Validity - 180 Days. Data tariff post quota completion will be charged at 50p/MB. Post SMS quota charging will be Re 1 local  Re 1.5 STD per SMS.,,MH_0014_1049_MH_0014_1049,,,,1049,Talktime,"Post daily quota usage, data will be charged at 50 p/MB & SMS charging will be Re 1 local & Re 1.5 national per SMS",180 Days,Bonus card,,Y,,,Y,,0,,combo,,,Truly Unlimited,Y,,Calls,,1,Truly Unlimited,,,180 Days,0,,,,N#N,Unlimited,Unlimited_FD,,Y,MH_0014_1049,SUCCESS,,,,,12GB,,local+STD,,,Truly Unlimited Local & National Calls + 1800 SMS. You can recharge with this plan and get the same benefits of the earlier Rs. 949 plan,Y,,,180,,,,POWERHOUR,MH,truly unlimited calls,,,,,,,,1800 SMS,,,,,,,,,160.02,voice+internet,,Get Unlimited Calls + 12GB Data + 1800 SMS. Pack Validity - 180 Days. Data tariff post quota completion will be charged at 50p/MB. Post SMS quota charging will be Re 1 local  Re 1.5 STD per SMS.,888.98,180.0,5.8277777777777775
509,,false,5,,Unlimited Calls + Data,,,,,,,,6144,1,ETOPUP,Get Unlimited Calls + 6GB Data + 1000 SMS. Pack Validity - 84 Days. Data tariff post quota completion will be charged at 50p/MB. Post SMS quota charging will be   Re 1 local  Re 1.5 STD per SMS.,,MH_0014_509_MH_0014_509,,,,509,Talktime,"Post daily quota usage, data will be charged at 50 p/MB & SMS charging will be Re 1 local & Re 1.5 national per SMS",84 Days,Bonus card,,Y,,,Y,,0,,combo,,,Truly Unlimited,Y,,Calls,IOIP/MNP,1,Truly Unlimited,,,84 Days,0,,,,N#N,Unlimited,Unlimited_FD,,Y,MH_0014_509,SUCCESS,,,,,6GB,,local+STD,FR_509,,Truly Unlimited Local & National Calls + 1000 SMS. You can recharge with this plan and get the same benefits of the earlier Rs. 459 plan,Y,,,84,,,,POWERHOUR,MH,truly unlimited calls,,,,,,,,1000 SMS,,,,,,1,,,77.64,voice+internet,,Get Unlimited Calls + 6GB Data + 1000 SMS. Pack Validity - 84 Days. Data tariff post quota completion will be charged at 50p/MB. Post SMS quota charging will be   Re 1 local  Re 1.5 STD per SMS.,431.36,84.0,6.059523809523809
489,,false,40,,Unlimited Calls + Data,,,,,,,,6144,1,ETOPUP,Unlimited Calls + 6GB Data + 1000 SMS. Valid for 78 Days.,,MH_0014_489_MH_0014_489,,,,489,Talktime,"Post daily quota usage, data will be charged at 50 p/MB & SMS charging will be Re 1 local & Re 1.5 national per SMS",78 Days,Bonus card,,Y,,,Y,,0,,combo,,,VAS,Y,,Calls,,1,Truly Unlimited Calls,,,78 Days,0,,,,N#N,Voice,Unlimited,,Y,MH_0014_489,SUCCESS,,,,,6GB,,local+STD,,,Truly Unlimited Local & National Calls + 1000 SMS,Y,,,78,,,,POWERHOUR,MH,truly unlimited calls~~6GB Data~~1000 SMS,,,,,,,,1000 SMS,,,,,,,,,74.59,voice+internet,,Unlimited Calls + 6GB Data + 1000 SMS. Valid for 78 Days.,414.41,78.0,6.269230769230769
369,,false,17,,Unlimited Calls + Data,,,,,,,,4096,1,ETOPUP,Get Unlimited Calls + 4GB Data + 600 SMS. Pack Validity - 56 Days. Data tariff post quota completion will be charged at 50p/MB. Post SMS quota charging will be   Re 1 local  Re 1.5 STD per SMS.,,MH_0014_369_MH_0014_369,,,,369,Talktime,"Post daily quota usage, data will be charged at 50 p/MB & SMS charging will be Re 1 local & Re 1.5 national per SMS",56 Days,Bonus card,,Y,,,Y,,0,,combo,,,Truly Unlimited,Y,,Calls,IOIP/MNP,1,Truly Unlimited,,,56 Days,0,,,,N#N,Unlimited,Unlimited_FD,,Y,MH_0014_369,SUCCESS,,,,,4GB,,local+STD,FR_369,,Truly Unlimited Local & National Calls + 600 SMS,Y,,,56,,,,POWERHOUR,MH,truly unlimited calls,,,,,,,,600 SMS,,,,,,1,,,56.29,voice+internet,,Get Unlimited Calls + 4GB Data + 600 SMS. Pack Validity - 56 Days. Data tariff post quota completion will be charged at 50p/MB. Post SMS quota charging will be   Re 1 local  Re 1.5 STD per SMS.,312.71,56.0,6.589285714285714
99,,false,1,,Combo 99,,,,,,,,200,1,ETOPUP,"NO OUTGOING SMS. Rs 99 Limited Validity talktime, L+N Calls at 2.5p/sec, 200MB Data. Standard tariff for SMS to 1900. 15 Day Service Validity",,MH_0014_99_MH_0014_99,Voice,,,99,,"Call charges apply at 2.5p/sec. Post quota usage, data charges apply at 50p/MB",15 Days,Combo Recharge,Others,Y,,,Y,,0,,,,,VAS,Y,,,,1,₹ 99 Talktime,,,15 Days,99,,,,N#N,Voice,,,Y,MH_0014_99,SUCCESS,,,,,200 MB,,,,,"NO OUTGOING SMS, Standard tariff for SMS to 1900. Get Rs99 Talktime + Total 200MB with L+N Calls at 2.5p/sec.SAVE MORE with Rs155! Recharge with Rs155 instead of Rs99 and enjoy 1GB Data + Unlimited Local & National Calls + 300 SMS for 24 Days.",Y,,,15,,,,,MH,Rs 99 limited validity talktime~~No outgoing SMS,,,,,,,,No Outgoing SMS,,,,₹ 99,Talktime,0,,,15.10,,,"NO OUTGOING SMS. Rs 99 Limited Validity talktime, L+N Calls at 2.5p/sec, 200MB Data. Standard tariff for SMS to 1900. 15 Day Service Validity",83.90,15.0,6.6
198,,false,1,,Combo 198,,,,,,,,500,1,ETOPUP,"Get Rs 198 Limitd Validity Talktime, calls at 2.5p/sec, 500 MB Data for 30 days.",,MH_0014_198_MH_0014_198,,,,198,Talktime,"Call charges apply at 2.5p/sec. Post quota usage, data charges apply at 50p/MB",30 Days,Combo Recharge,,Y,,,Y,,0,,combo,,,Combo,Y,,,,1,,,,30 Days,198,,,,N#N,All-rounder packs,,,Y,MH_0014_198,SUCCESS,,,,,500 MB,,local+STD,,,"Call charges apply at 2.5p/sec. Post quota usage, data charges apply at 50p/MB",Y,,,30,,,,,MH,Rs 198 limited validity talktime~~No outgoing SMS,,,,,,,,,,,,₹ 198,Talktime,,,,30.20,voice+internet,,"Get Rs 198 Limitd Validity Talktime, calls at 2.5p/sec, 500 MB Data for 30 days.",167.80,30.0,6.6
95,,FALSE,11,,82 Sony LIV,,,,,,,,4096,1,ETOPUP,"28 Days Sony Liv mobile only membership, 4GB data for 14 Days",,MH_0014_95_MH_0014_95,,,,95,Data,,14 days,Internet pack,,Y,,,Y,Premium Pack - Includes Sony Liv,0,,,,,Data,Y,,,,1,,,,0,0,,,,N#N,Internet,,,Y,MH_0014_95,SUCCESS,,,,,4GB,,,,,Enjoy Sony Liv mobile only membership for 28 days.,N,,,14,Sony Liv Mobile for 28 days,,4G,,MH,Data + OTT Pack~~28 days of SonyLIV mobile~~no service validity#Premium Pack - Includes Sony Liv,,,,,,,,,,,,,,,,,14.49,,,"28 Days Sony Liv mobile only membership, 4GB data for 14 Days",80.51,14.0,6.785714285714286
208,,false,7,,Data 1.5GB/Day,,,,,,,,46080,1,ETOPUP,ADD-ON Data pack- 1.5GB/day for 30 Days. NO Service Validity.,,MH_0014_208_MH_0014_208,,,,208,Data,ADD-ON Data pack- 1.5GB/day for 30 Days. NO Service Validity.,30 Days,Internet pack,,Y,,,Y,,0,,,,,Data,Y,,,,1,,,,0,0,,,,N#N,Internet,,,Y,MH_0014_208,SUCCESS,,,,,1.5GB/Day,,,,,ADD-ON Data pack. 1.5GB/day for 30 Days. NO Service Validity. You can recharge with this plan and get the same benefits of the earlier Rs. 181 pack.,N,,,30,,,4G,,MH,no service validity~~no outgoing SMS#Cricket Offer - 1.5GB/Day,,,,,,,,,,,,,,,,,31.73,,,ADD-ON Data pack- 1.5GB/day for 30 Days. NO Service Validity.,176.27,30.0,6.933333333333334
